society_id,society_name,region,lat,lon,focal_year,EA031_code,EA031_label,comment,references
Ib2,Javanese,,-7,110,1950,7,5000-50000,,dewey1962; geertz1960; geertz1961; geertz1963; geertz1965; grant1964; jay1963; jay1969; kahin1963; koentjaraningrat1960; koentjaraningrat1961; koentjaraningrat1967
Ib3,Balinese,,-8.18,115.02,1950,4,200-399,,belo1936; belo1970; covarrubias1937; frankenetal1960; geertz1959a; geertz1959b; geertz1963; geertz1967; geertzandgeertz1959; grant1964; kahin1963; meadandmacgregor1951
Ib4,Toba Batak,,2,99,1930,NA,Missing data,,
Ib5,Kadazan-Dusun,,6,117,1920,4,200-399,,evans1922; rutter1929; williams1965; williamsnd
Ib6,Minangkabau,,-1,101,1920,NA,Missing data,,
Ib7,Mentaweians,,-2.93,100.23,1920,NA,Missing data,,
Ib8,Anak Dalam,,-3,103,1900,NA,Missing data,,
Ib9,Punan,,3,115,1950,NA,Missing data,,
Ic1,Macassarese,,-5.31,119.69,1940,3,100-199,,chabot1950
Ic10,Tobelorese,,1,128,1910,NA,Missing data,,
Ic11,Ambonese,,-3.71,128.18,1950,6,1000-5000,,cooley1962a; cooley1962b
Ic12,Sumbawanese,,-8.63,117.27,1951,5,400-1000,,goethals1967
Ic13,Kodi,,-9.66,119.07,1950,NA,Missing data,,
Ic2,Alorese,,-8.22,124.26,1940,3,100-199,,dubois1940; dubois1941; dubois1944; dubois1945
Ic3,Belu,,-9,126,1950,NA,Missing data,,
Ic4,Rotinese,,-10.71,123.18,1920,NA,Missing data,,
Ic5,Toradja,,-2,121,1910,NA,Missing data,,
Ic6,Tanimbarese,,-8.19,130.96,1930,NA,Missing data,,
Ic7,Ili-Mandiri,,-8.33,122.85,1920,5,400-1000,,vatter1932
Ic8,Kei,,-5.58,133.07,1890,NA,Missing data,,
Ic9,Sumbanese,,-10,120,1930,NA,Missing data,,
Id1,Northern Aranda,,-24,134,1900,1,<50,,murdock1934b:20-47; spencerandgillen1927; strehlow190711
Id10,Walbiri,,-22,132,1930,3,100-199,,meggitt1962a
Id11,Gidjingali,,-12.29,134.32,1950,2,50-99,,hiatt1965
Id12,Yir Yoront,,-15,142,1930,NA,Missing data,,
Id13,Anindilyagwa,,-13.99,136.6,1930,1,<50,,rose1960
Id2,"Yolngu, Dhuwal",,-12.48,135.96,1930,1,<50,,berndt1955; elkin1950; warner1937
Id3,Tiwi,,-11.56,130.81,1920,3,100-199,,basedow1913; goodale1959; goodale1960; goodale1962; goodale1971; hartandpilling1960; mountford1958; pilling1957
Id4,Diyari,,-28,138,1900,1,<50,,berndt1953; elkin1940a; gason1874; howitt1891; howitt1904
Id5,Kariyarra,,-21,118,1910,1,<50,,radcliffebrown1913; radcliffebrown1930; romneyandepling1958
Id6,Wikmunkan,,-14,142,1920,1,<50,,mcconnel1930; mcconnel1934; mcconnel1940; needham1962; thomson1935; thomson1936
Id7,Murriny Patha,,-14,130,1940,1,<50,,falkenberg1962
Id8,Tasmanians (northwestern),,-42,146,1830,1,<50,,roth1890
Id9,Ngiyambaa,,-32,146,1910,NA,Missing data,,
Ie1,Mee,,-4,136,1950,2,50-99,,pospisil1958; pospisil1960; pospisil1963a; pospisil1963b
Ie10,Motu,,-9,147,1950,5,400-1000,,belshaw1957; groves1963; groves1964
Ie11,Kakoli,,-6,144,1950,4,200-399,,bowers1964
Ie12,Kwoma,,-4,142,1930,NA,Missing data,,
Ie13,Kiwai,,-9,143,1920,NA,Missing data,,
Ie14,Miriam,,-9.91,144.06,1900,NA,Missing data,,
Ie15,Abelam,,-3.79,143.09,1930,NA,Missing data,,
Ie16,Kutubu,,-6,143,1940,NA,Missing data,,
Ie17,Siane,,-6,145,1940,4,200-399,,salisbury1956; salisbury1962
Ie18,Kimam,,-7.52,138.46,1940,4,200-399,,serpenti1965
Ie19,Marind-Amin,,-8,139,1910,4,200-399,,vanbaal1966
Ie2,Wantoat,,-6.15,146.53,1920,2,50-99,,schmitz1960
Ie20,Koita,,-9,147,1900,NA,Missing data,,
Ie21,Mailu,,-10,149,1900,NA,Missing data,,
Ie22,Mekeo,,-9,147,1900,4,200-399,,belshaw1951; seligmann1910; williamson1913
Ie23,Muju,,-6,141,1950,1,<50,,schoorl1957
Ie24,Koiari,,-9,148,1870,NA,Missing data,,
Ie25,Mafulu,,-8,147,1920,NA,Missing data,,
Ie26,Ngarawapum,,-6,146,1940,3,100-199,,read1946; read1950
Ie27,Banaro,,-4.56,144.34,1910,NA,Missing data,,
Ie28,Busama,,-6.69,147.26,1940,NA,Missing data,,
Ie29,Manam,,-4.08,145.03,1930,NA,Missing data,,
Ie3,Arapesh,,-4,144,1930,NA,Missing data,,
Ie30,Mimika,,-4,135,1950,3,100-199,,pouwer1955
Ie31,Fore,,-6,145,1950,3,100-199,,berndt1962
Ie32,Sio,,-6,147,1964,5,400-1000,,groves1934; harding1967
Ie33,Soromadja,,-2,138,1950,2,50-99,,oosterwal1967
Ie34,Bgu,,-2.34,139.6,1960,NA,Missing data,,
Ie35,Iatmul,,-4,143,1930,4,200-399,,bateson1932; bateson1936
Ie36,Samarokena,,-3,140,1950,NA,Missing data,,
Ie37,Star Mountain,,-5,141,1960,NA,Missing data,,
Ie38,Dani,,-4,139,1960,4,200-399,,heider1965; heider1967
Ie39,Elema,,-7.82,145.31,1920,NA,Missing data,,
Ie4,Wogeo,,-3.24,144.1,1930,2,50-99,,hogbin1935; hogbin193839; hogbin1943; hogbin1945; hogbin1946a; hogbin1946c
Ie5,Keraki,,-9,142,1930,2,50-99,,williams1936
Ie6,Waropen,,-2.14,137.23,1930,NA,Missing data,,
Ie7,Enga,,-6,144,1950,4,200-399,,elkin1953; goodenough1953; meggitt1956; meggitt1958; meggitt1962b; meggitt1965a; meggitt1965b; meggitt1967
Ie8,Purari,,-7,145,1910,5,400-1000,,holmes1924; maher1961; maher1967; williams1924
Ie9,Orokaiva,,-9,148,1920,2,50-99,,reay1953; waddellandkrinks1968; williams1928; williams1930
If1,Palauans,,7.45,134.54,1940,NA,Missing data,,
If10,Nomoians,,6.89,152.74,1940,NA,Missing data,,
If11,Kosraeans,,5.31,162.98,1860,NA,Missing data,,
If12,Bikinians,,11.7,165.29,1940,3,100-199,,mason1954
If13,Nauruans,,-0.53,166.92,1900,4,200-399,,hambruch191415; stephen1936; wedgwood1936
If14,Makin,,3.38,172.99,1890,4,200-399,,finsch1893; grimble1921; kramer1906:253-315; lambert1963; lambert1964; lambert1968; lambert1970a; lambert1970b
If15,Carolinians,,15.21,145.76,1930,NA,Missing data,,
If16,Lamotrek,,7.46,146.38,1960,4,200-399,,alkire1965
If17,Marshallese - Jaluit atoll,,6.28,169.49,1900,3,100-199,,erdland1914; spoehr1949
If2,Trukese,,7.34,151.6,1940,3,100-199,,bollig1927; fischer1950; gladwinandsarason1953; goodenough1949; goodenough1969; lebar1964; murdocketal1944a
If3,Majuro,,7.09,171.13,1940,3,100-199,,spoehr1949
If4,Ifaluk,,7.25,144.46,1940,2,50-99,,burrows1949; burrowsandspiro1953; damm1938; spiro1949
If5,Ponapeans,,6.88,158.22,1910,1,<50,,bascom1965; hambruch193236; riesenberg1949
If6,Yapese,,9.55,138.13,1910,2,50-99,,huntetal1949; muller1917; murdocketal1944b; salesius1906; schneider1953; schneider1957c; schneider1962; schneidernd; senfft1903; tetens1958; tetensandkubary1873
If7,Gilbert Onotoa,,-1.47,175.06,1940,4,200-399,,goodenough1951b; goodenough1955; knudson1965; lundsgaarde1966
